2023-08-09 18:35:06.298 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@85909a0
2023-08-09 18:35:06.301 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-09 18:35:06.370 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-08-09 18:35:07.411 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-09 18:35:07.421 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:35:07.793 [restartedMain] DEBUG c.e.Contacts.filter.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2023-08-09 18:35:07.999 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-09 18:35:08.367 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5d77af25, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6726058e, org.springframework.security.web.context.SecurityContextHolderFilter@51056041, org.springframework.security.web.header.HeaderWriterFilter@6b3eda4b, org.springframework.web.filter.CorsFilter@792d154c, org.springframework.security.web.authentication.logout.LogoutFilter@414f9a59, com.example.Contacts.filter.JwtAuthFilter@589dbc8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@bdedd24, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34aff290, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ef4504, org.springframework.security.web.session.SessionManagementFilter@73252de7, org.springframework.security.web.access.ExceptionTranslationFilter@36aa24b3, org.springframework.security.web.access.intercept.AuthorizationFilter@77f9a25f]
2023-08-09 18:35:08.737 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-09 18:35:08.757 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2023-08-09 18:35:08.787 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2023-08-09 18:35:08.802 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Started ContactsApplication in 6.451 seconds (process running for 7.394)
2023-08-09 18:42:15.626 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:42:15.636 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-09 18:42:15.646 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
